id_estabelecimento,projeto,fonte,nome,sigla,natureza,categoria,abrangencia,descricao,tipo_logradouro,nome_logradouro,numero,numero_sem_numero,complemento,bairro,municipio,cod_IBGE,uf,cep,ddd,telefone1,ramal1,telefone 2,ramal2,whatsapp,e-mail,24horas,horario_inicio,horario_fim,dias_funcionamento,presencial,online,funcionamento_pandemia,obs_pandemia,latitude,longitude,observacao
,penhas,mapa_acolhimento,Defensoria Pública do Estado do Rio Grande do Sul - Porto Alegre,DPE,público,Jurídico,Regional,,Rua,Sete de Setembro,666,,,,Porto Alegre,4314902,RS,90010190,51,32250777,,,,,alo@defensoria.rs.def.br,,,,,,,,,"-30,091104","-51,252796",
,penhas,mapa_acolhimento,Hospital Materno Infantil Presidente Vargas,HMIPV,público,Saúde,Regional,,Avenida,Independência,661,,,Independência,Porto Alegre,4314902,RS,90035076,51,32893000,,,,,,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-30,029553","-51,217080",
,"mapa_delegacias, penhas",mapa_delegacias,Palácio da Polícia - Porto Alegre,PP,público,Delegacia da Mulher,Regional,,Rua,Freitas e Castro,,,,Azenha,Porto Alegre,4314902,RS,90160091,51,32882172,,,,,,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,,"-30,047492","-51,210844",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Rio Grande,DEAM,público,Delegacia da Mulher,Local,,Rua,Almirante Barroso,142,,,Niteroi,Rio Grande,4315602,RS,92010011,53,32931420,,,,,,,,,,,,,,"-29,941867","-51,175562",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Canoas,DEAM,público,Delegacia da Mulher,Local,,Rua,Cândido Machado,106,,,Centro,Canoas,4304606,RS,92010270,51,34720494,,,,,,,,,,,,,,"-29,925057","-51,179071",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Guaiba,DP,público,Delegacia Comum,Local,,Rua,José Montauri,60,,,Centro,Guaíba,4309308,RS,92500000,51,34020230,,,,,dp-guaiba@pc.rs.gov.br,,,,,,,,,"-30,151965","-51,340342",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - São Leopoldo,DEAM,público,Delegacia da Mulher,Local,,Rua,São Paulo,970,,,Centro,São Leopoldo,4318705,RS,93010170,51,35913333,,,,,,Não,08:30:00,17:30:00,Dias úteis,Sim,Sim,Sim,,"-29,765957","-51,142214",Delegacia fecha para almoço das 11h30 ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Estância Velha,DP,público,Delegacia Comum,Local,,Avenida,Brasil,1110,,,Centro,Estância Velha,4307609,RS,93600000,51,35611110,,,,,estanciavelha-dp@pc.rs.gov.br,Sim,00:00:00,23:59:00,Dias úteis,Sim,Sim,Sim,,"-29,653961","-51,173372","Plantão 24h, mas atendimento especializado entre 8h30 e 18h. Delegacia fecha para almoço das 12h ás 13h30"
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Lagoa Vermelha,DP,público,Delegacia Comum,Local,,Rua,Alexandre Pato,220,,,Floresta,Lagoa Vermelha,4311304,RS,95300000,54,33581247,,,,,lagoavermelha-dp01@pc.rs.gov.br,,,,,,,,,"-28,221665","-51,515788",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - Veranópolis,CREAS,público,Assistência Social,Local,,Rua,Dr José Montauri,960,,,,Veranópolis,4322806,RS,95330000,54,34416200,,,,,creas@veranopolis.rs.gov,Não,08:00:00,17:30:00,Dias úteis,,,,,"-28,931931","-51,549740",Almoço das 12h às 13h
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Bento Gonçalveis,DEAM,público,Delegacia da Mulher,Local,,Rua,Treze de Maio,222,,,Centro,Bento Gonçalves,4302105,RS,95700000,54,34523200,,,,,,,,,,,,,,"-29,164816","-51,513317",
,penhas,mapa_acolhimento,Centro de Referência à Mulher em Situação de Violência Revivi,CRAM,público,Centro de Referência da Mulher,Local,,Rua,10 De Novembro,190,,,Cidade Alta,Bento Gonçalves,4302105,RS,95700382,54,30557418,,,,,revivi@bentogoncalves.rs.gov.br,Não,08:00:00,17:30:00,Dias úteis,,,,,"-29,173972","-51,519156",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia Civil - Garibaldi,DP,público,Delegacia Comum,Local,,Avenida,Perimetral,1113,,,São José,Garibaldi,4308607,RS,95720000,54,34621162,,,,,garibaldi-dp@pc.rs.gov.br,Não,08:30:00,17:30:00,Dias úteis,Sim,Sim,Sim,,"-29,251944","-51,524490",Delegacia fecha para almoço das 11h30 ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Lajeado,DEAM,público,Delegacia da Mulher,Local,,Rua,João Batista de Melo,509,,,Centro,Lajeado,1712009,RS,95900000,51,37143309,,,,,,,,,,,,,,"-29,465573","-51,966337",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Santa Cruz do Sul,DEAM,público,Delegacia da Mulher,Local,,Rua,João Werlang,569,,,Centro,Santa Cruz do Sul,4316808,RS,96825358,51,37114513,,,,,,,,,,,,,,"-29,720089","-52,418607",
,"mapa_delegacias, penhas",mapa_delegacias,Posto Policial para Mulher - Sobradinho,PPM,público,Posto de Atendimento em Delegacia Comum,Local,,Rua,Independência,447,,,Centro,Sobradinho,2930774,RS,96900000,55,37421378,,,,,sobradinho-dp@policiacivil.rs.gov.br,Não,08:30:00,18:00:00,Dias úteis,Sim,Sim,Sim,,"-29,415445","-53,025749",
,"mapa_delegacias, penhas",mapa_delegacias,Posto Policial para Mulher - São Luiz Gonzaga,PPM,público,Posto de Atendimento em Delegacia Comum,Local,,Rua,Borges de Medeiros,2208,,,Centro,São Luiz Gonzaga,4318903,RS,97800000,55,33528111,,,,,saoluizgonzaga-dcpa@pc.rs.govr.br,Sim,00:00:00,23:59:00,Dias úteis,Sim,Sim,Sim,,"-28,412584","-54,950567","Plantão 24h, mas atendimento especializado entre 8h30 e 18h. Delegacia fecha para almoço das 12h ás 13h30"
,penhas,mapa_acolhimento,Casa de Amparo Maria Mulher,CRAM,ONG,Assistência Social,Local,,Rua,General Joao Manoel,90,,,Centro - Cruz Alta,Cruz Alta,4306106,RS,98005170,55,33221716,,,,,,,,,,,,,,"-28,642398","-53,600498",
,"mapa_delegacias, penhas",mapa_delegacias,Posto Policial para Mulher - Camaquã,PPM,público,Posto de Atendimento em Delegacia Comum,Local,,Rua,Professora Luiza Maraninche,475,,,Centro,Camaquã,4303509,RS,96770000,51,36714996,,,,,camaqua-dp@pc.rs.gov.br,Não,13:30:00,17:30:00,Dias úteis,Sim,Sim,Sim,Houve mudança no hórario de atendimento,"-30,849346","-51,816657",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Ijuí,DEAM,público,Delegacia da Mulher,Local,,Avenida,Coronel Dico,747,,,Sol Nascente,Ijuí,4310207,RS,98700000,53,32226888,,33327530,,,,,,,,,,,,"-28,402388","-53,931443",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Santa Rosa,DEAM,público,Delegacia da Mulher,Local,,Rua,Palmeiras,229,,,Central,Santa Rosa,4317202,RS,98900000,55,35125911,,,,,,,,,,,,,,"-27,873628","-54,483832",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Carazinho,DP,público,Delegacia Comum,Local,,Avenida,Flores da Cunha,532,,,Centro,Carazinho,4304705,RS,99500000,54,33298600,,,,,carezinho-dp@pc.rs.gov.br,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,,"-28,281226","-52,781623",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Erechim,DEAM,público,Delegacia da Mulher,Local,,Rua,Flores da Cunha,91,,,Dal Molin,Erechim,4307005,RS,99711444,54,33219996,,,,,,,,,,,,,,"-27,632567","-52,286408",
,"mapa_delegacias, penhas",mapa_delegacias,Posto Policial para Mulher - Canela,PPM,público,Posto de Atendimento em Delegacia Comum,Local,,Avenida,Osvaldo Aranha,485,,Sala 01,Centro,Canela,4304408,RS,90035191,54,32780032,,,,,canela@ppm.rs.gov.br,Não,09:00:00,16:30:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-30,033666","-51,217472",Delegacia fecha para almoço das 12h ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Capaçava do Sul,DEAM,público,Delegacia da Mulher,Local,,Rua,Alter Cintra de Oliveira,130,,,Centro,Caçapava Do Sul,4302808,RS,90110030,55,32811861,,,,,cacapavasul-dp@pc.rs.gov.br,Não,09:00:00,18:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-30,055022","-51,229198",Delegacia fecha para almoço das 12h ás 14h
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Portão,DP,público,Delegacia Comum,Local,,Rua,Nove de Outubro,686,,,Centro,Portão,4314803,RS,93180000,51,35621349,,,,,portao-dp@pc.rs.gov.br,Não,08:30:00,18:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-29,692039","-51,235770",Delegacia fecha para almoço das 12h ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Santana do Sapucaia,DP,público,Delegacia Comum,Local,,Rua,Barão do Rio Branco,378,,,Santa Catarina,Sapucaia do Sul,4320008,RS,93214340,51,34748878,,,,,sapucaiasul-dp01@pc.rs.gov.br,Não,08:30:00,17:30:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-29,823988","-51,157146",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia Civil - Esteio,DP,público,Delegacia Comum,Local,,Avenida,Presidente Vargas,1142,,,Centro,Esteio,4307708,RS,93260048,51,34589650,,,,,esteio-dp@pc.rs.gov.br,Não,08:30:00,18:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-29,841361","-51,172352",Delegacia fecha para almoço das 12h ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Novo Hamburgo,DEAM,público,Delegacia da Mulher,Local,,Rua,Julio de Castilho,806,,,Centro,Novo Hamburgo,4313409,RS,93510130,51,35845805,,35845848,,,,Sim,00:00:00,23:59:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-29,722939","-51,190952","Plantão 24h, mas atendimento especializado entre 8h30 e 17h30. Delegacia fecha para almoço das 12h ás 13h30"
,"mapa_delegacias, penhas",mapa_delegacias,Cartório da Mulher - Sapiranga,CM,público,Posto de Atendimento em Delegacia Comum,Local,,Avenida,João Corrêa,1766,,,Centro,Sapiranga,4319901,RS,93815016,51,35591280,,,,,saripinga-dp@pc.rs.gov.br,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,O atendimento está mais restrito,"-29,638654","-51,013664",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Gravataí,DEAM,público,Delegacia da Mulher,Local,,Avenida,Ely Corrêa,1013,,,Parque dos Anjos,Gravataí,4309209,RS,94185352,51,39452711,,,,,,Não,08:30:00,18:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-29,946661","-50,971087",Delegacia fecha para almoço das 11h ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Caxias do Sul,DEAM,público,Delegacia da Mulher,Local,,Rua,Doutor Montauri,1387,,,Madureira,Caxias do Sul,4305108,RS,95020190,54,32211357,,32209280,,,,Sim,00:00:00,23:59:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-29,168661","-51,180213","Plantão 24h, mas atendimento especializado entre 8h e 18h. Delegacia fecha para almoço das 12h ás 13h30"
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Pronto Atendimento - Vacaria,DPPA,público,Delegacia Comum,Local,,Rua,Julio de Castilho,1194,,,Centro,Vacaria,4322509,RS,95200000,54,32312575,,,,,vacaria-dppa@pc.rs.gov.br,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,O atendimento está mais restrito,"-28,505145","-50,935813",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Osório,DP,público,Delegacia Comum,Local,,Avenida,Jorge Dariva,1427,,,Centro,Osório,4313508,RS,95520000,51,36633388,,,,,osorio-dp@pc.rs.gov.br,Sim,00:00:00,23:59:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-29,889867","-50,274724","Plantão 24h, mas atendimento especializado entre 8h30 e 18h. Delegacia fecha para almoço das 12h ás 13h30"
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Tramandaí,DP,público,Delegacia Comum,Local,,Rua,Doze de Abril,213,,,Centro,Tramandaí,4321600,RS,95590000,51,36611983,,,,,tramandai-dp@pc.rs.gov.br,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,O atendimento está mais restrito,"-29,984648","-50,131457",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Parobé,DP,público,Delegacia Comum,Local,,Rua,Pedro Arnold,615,,,Guarujá,Parobé,4314050,RS,95630000,51,35431203,,,,,parobe-de@pc.rs.gov.br,Não,08:30:00,18:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-29,628751","-50,822375",Delegacia fecha para almoço das 12h ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Montenegro,DEAM,público,Delegacia da Mulher,Local,,Avenida,Julio Renner,3605,,,Santa Rita,Montenegro,4312401,RS,95780000,51,36490000,,,,,montenegro-dp@pc.rs.gov.br,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,O atendimento está mais restrito,"-29,702354","-51,499672",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Pelotas,DEAM,público,Delegacia da Mulher,Local,,Rua,Barros de Cassal,516,,,Areal,Pelotas,4314407,RS,96077540,53,33108181,,,,,,Sim,00:00:00,23:59:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-31,761377","-52,324318","Plantão 24h, mas atendimento especializado entre 8h30 e 17h30. Delegacia fecha para almoço das 12h ás 13h30"
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Bagé,DEAM,público,Delegacia da Mulher,Local,,Avenida,Sete de Setembro,634,,,Centro,Bagé,4301602,RS,96400003,53,32413709,,,,,bage-deam@policiacivil.rs.gov.br,Não,08:30:00,18:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-31,335294","-54,105021","B.Os. são feitos na Delegacia da Rua Barão do Triunfo, 1572 e depois encaminhados para a delegacia correspondente. A Delegacia que é feita a ocorrência funciona 24h. A delegacia especializada fecha para almoço das 12h às 13h30."
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Cachoeira do Sul,DP,público,Delegacia Comum,Local,,Rua,Izidoro Neves da Fontoura,550,,,Rio Branco,Cachoeira do Sul,4303004,RS,96501530,51,37222845,,37223388,,,cachoeira-ppm@pc.rs.gov.br,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,O atendimento está mais restrito,"-30,036685","-52,895006",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Candelária,DP,público,Delegacia Comum,Local,,Rua,Botucaraí,955,,,Centro,Candelária,4304200,RS,96930000,51,37431178,,,,,candelaria-dp@policiacivil.rs.gov.br,Não,08:30:00,17:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-29,673560","-52,790881",Delegacia fecha para almoço das 12h ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Santa Maria,DEAM,público,Delegacia da Mulher,Local,,Rua,Duque de Caxias,1196,,,Bonfim,Santa Maria,2409332,RS,97010200,55,32229646,,,,,,Não,08:30:00,17:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-29,688289","-53,812657",Delegacia fecha para almoço das 11h ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Santana do Livramento,DP,público,Delegacia Comum,Local,,Rua,Silveira Martins,294,,,Centro,Sant'ana do Livramento,4317103,RS,97573511,55,32411796,,,,,santadolivramento-dp@pc.rs.gov.br,Não,08:30:00,18:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-30,892653","-55,537136",Delegacia fecha para almoço das 12h ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Cruz Alta,DEAM,público,Delegacia da Mulher,Local,,Rua,Coronel José Gabriel,21,,,Schettert,Cruz Alta,4306106,RS,98025460,55,33221864,,,,,,Sim,00:00:00,23:59:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-28,628824","-53,607157","Plantão 24h, mas atendimento especializado entre 8h e 18h. Delegacia fecha para almoço das 12h ás 13h30"
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Ibirubá,DP,público,Delegacia Comum,Local,,Rua,Mérito,666,,,Planalto,Ibirubá,4310009,RS,98200000,54,33241638,,,,,ibiruba-dp@pc.rs.gov.br,Não,08:30:00,17:30:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-28,636489","-53,093575",Delegacia fecha para almoço das 11h30 ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Palmeira das Missões,DP,público,Delegacia Comum,Local,,Rua,Marechal Floriano,846,,,Centro,Palmeira das Missões,4313706,RS,98300000,55,37421180,,,,,palmeira-dp@pc.rs.gov.br,Não,08:30:00,18:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-27,901116","-53,314116",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Três Passos,DP,público,Delegacia Comum,Local,,Rua,Miraguaí,660,,,Centro,Três Passos,4321907,RS,98600000,55,35221211,,,,,trespassos-dp@policiacivil.rs.gov.br,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,O atendimento está mais restrito,"-27,454010","-53,928150",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Osório,DEAM,público,Delegacia da Mulher,Local,,Rua,Nascimento Vargas,153,,,Annes,Passo Fundo,4314100,RS,99020000,54,35810725,,,,,,Sim,00:00:00,23:59:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-28,257678","-52,414086","Plantão 24h, mas atendimento especializado entre 8h30 e 18h. Delegacia fecha para almoço das 12h ás 13h30"
,penhas,mapa_acolhimento,Centro de Referência de Atendimento à Mulher Em Situação de Violência Florianópolis,CRAM,público,Centro de Referência da Mulher,Local,,Rua,Delminda da Silveira,,,,Agronômica,Florianópolis,4205407,SC,88010400,48,32247373,,32246605,,,cremvfloripa@gmail.com,Não,09:00:00,17:00:00,Dias úteis,,,,,"-27,576221","-48,530006",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Florianópolis,DEAM,público,Delegacia da Mulher,Local,,Rua,Delminda Silveira,811,,,Agronômica,Florianópolis,4205407,SC,88010400,48,36656528,,,,,,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,,"-27,573849","-48,535092",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia - Santa Catarina,DP,público,Delegacia Comum,Regional,,Rua,Lauro Linhares,208,,,Trindade,Florianópolis,4205407,SC,88036000,48,36656444,,,,,,,,,,,,,,"-27,580913","-48,526783",
,"mapa_delegacias, penhas",mapa_delegacias,"Delegacia de Proteção à Criança, ao Adolescente, à Mulher e ao Idoso - São José",DPCAMI,público,Delegacia da Mulher,Local,,Rua,Adhemar da Silva,1135,,,Kobrasol,São José,4216602,SC,88101091,48,33575418,,,,,,,,,,,,,,"-27,591457","-48,612310",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Camboriu,DEAM,público,Delegacia da Mulher,Local,,Vila,Real,,,,Balneário,Camboriú,4203204,SC,88337335,47,33672123,,,,,,,,,,,,,,"-27,003845","-48,631824",
,penhas,mapa_acolhimento,Centro de Referência da Mulher Lages,CRAM,público,Centro de Referência da Mulher,Local,,Avenida,Presidente Vargas,958,,,Sagrado Coração de Jesus,Lages,4209300,SC,88502255,49,30197454,,,,,,Não,13:00:00,18:00:00,Dias úteis,,,,,"-27,811823","-50,311537",
,"mapa_delegacias, penhas",mapa_delegacias,"Delegacia de Proteção à Criança, ao Adolescente, à Mulher e ao Idoso - Criciúma",DPCAMI,público,Delegacia da Mulher,Local,,Rua,General Lauro Sodré,110,,,Comerciario,Criciúma,4204608,SC,88803000,48,34031717,,,,,,,,,,,,,,"-28,687549","-49,368073",
,"mapa_delegacias, penhas",mapa_delegacias,"Delegacia de Polícia de Proteção à Mulher, à Criança e ao Adolescente - Blumenau",DEAM,público,Delegacia da Mulher,Local,,Rua,Jacó Brueckheimer,326,,,Velha,Blumenau,4202404,SC,89036250,47,33298829,,,,,,,,,,,,,,"-26,915463","-49,087742",
,penhas,mapa_acolhimento,Hospital Municipal São José, ,público,Saúde,Local,,Rua,Getúlio Vargas,238,,,Anita Garibaldi,Joinville,4209102,SC,89202000,47,34416666,,,,,,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-26,309495","-48,846253",
,penhas,mapa_acolhimento,"Delegacia de Proteção à Criança, ao Adolescente, à Mulher e ao Idoso - Joinville",DPCAMI,público,Delegacia da Mulher,Local,,Rua,Doutor Plácido Olímpio de Oliveira,843,,,Bucarein - Joinville - Sc,Joinville,4209102,SC,89202165,47,34813628,,34813629,,,dpcamijoinville@pc.sc.gov.br,Não,12:00:00,19:00:00,Dias úteis,,,,,"-26,311448","-48,843074",
,penhas,mapa_acolhimento,Maternidade Darcy Vargas, ,público,Saúde,Regional,,Rua,Miguel Couto,44,,,Anita Garibaldi,Joinville,4209102,SC,89202190,47,34615700,,,,,,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-26,311120","-48,849400",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social 2 - Joinville,CREAS,público,Assistência Social,Local,,Avenida,Coronel Procópio Gomes,830,,,Bucarein,Joinville,4209102,SC,89202422,47,34226925,,,,,sas.upe.creas2@joinville.sc.gov.br,Não,07:00:00,19:00:00,Dias úteis,,,,,"-26,313386","-48,840978",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social 3 - Joinville,CREAS,público,Assistência Social,Local,,Rua,Almirante Tamandaré,222,,,América,Joinville,4209102,SC,89204140,47,34450851,,,,,,Não,07:00:00,19:00:00,Dias úteis,,,,,"-26,285154","-48,845596",
,penhas,mapa_acolhimento,Hospital Infantil Dr. Jeser Amarante Faria, ,ONG,Saúde,Regional,,Rua,Araranguá,554,,,América,Joinville,4209102,SC,89204310,47,31451600,,,,,,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-26,288843","-48,852396",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social 1 - Joinville,CREAS,público,Assistência Social,Local,,Rua,Vereador Alfredo Zimmermann,174,,,Itaum,Joinville,4209102,SC,89210030,47,34299956,,,,,,Não,07:00:00,19:00:00,Dias úteis,,,,,"-26,325829","-48,840389",
,penhas,mapa_acolhimento,Hospital Regional Hans Dieter Schmidt, ,público,Saúde,Regional,,Rua,Xavier Arp,,,,Boa Vista,Joinville,4209102,SC,89227680,47,34615500,,,,,,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-26,282671","-48,814090",
,"mapa_delegacias, penhas",mapa_delegacias,"Delegacia de Proteção à Criança, ao Adolescente, à Mulher e ao Idoso - Chapecó",DPCAMI,público,Delegacia da Mulher,Local,,Rua,Comandante Carlos Gonçalves Pinho,73,,,Centro,Chapecó,4204202,SC,89804480,49,20497874,,,,,,,,,,,,,,"-27,104707","-52,614873",
,"mapa_delegacias, penhas",mapa_delegacias,"Delegacia de Proteção à Criança, ao Adolescente, à Mulher e ao Idoso - Itajaí",DPCAMI,público,Delegacia da Mulher,Local,,Rua,Brusque,367,,,Centro,Itajaí,4208203,SC,88302001,47,33986290,,,,,,Não,08:00:00,18:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-26,910942","-48,665091",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Lages,DEAM,público,Delegacia da Mulher,Local,,Rua,Lauro Muller,142,,,Centro,Lages,4209300,SC,88501130,49,32868190,,,,,,Não,09:00:00,17:30:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-27,819139","-50,328455",
,"mapa_delegacias, penhas",mapa_delegacias,"Delegacia de Proteção à Criança, ao Adolescente, à Mulher e ao Idoso - Tubarão",DPCAMI,público,Delegacia da Mulher,Local,,Rua,Altamiro Guimarães,864,,1º andar,Centro,Tubarão,4218707,SC,88701302,48,36319950,,,,,,Não,12:00:00,18:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-28,487604","-49,016074",Atendimento presencial somente de casos urgentes
,"mapa_delegacias, penhas",mapa_delegacias,"Delegacia de Proteção à Criança, ao Adolescente, à Mulher e ao Idoso - Araranguá",DPCAMI,público,Delegacia da Mulher,Local,,Rua,Regimento Barriga Verde,811,,,Centro,Araranguá,4201406,SC,88900000,48,35290180,,,,,,Não,12:00:00,19:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-28,932176","-49,480569",Atendimento presencial somente de casos urgentes
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Polícia Civil de Proteção à Mulher - Caçador,DP,público,Delegacia da Mulher,Local,,Rua,Anita Garibald,425,,,Centro,Caçador,4203006,SC,89202450,47,34813628,,,,,,Não,08:00:00,17:00:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-26,311294","-48,843042",Atendimento presencial somente de casos urgentes. Delegacia fecha para almoço das 12h ás 13h30
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia da Mulher - Jaraguá do Sul,DEAM,público,Delegacia da Mulher,Local,,Rua,Martim Stahl,507,,,Vila Nova,Jaraguá do Sul,4208906,SC,89259310,47,33700331,,,,,,Não,09:00:00,17:30:00,Dias úteis,Sim,Sim,Sim,O atendimento está mais restrito,"-26,499076","-49,082917",Atendimento presencial somente de casos urgentes
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especial de Atendimento a Grupos Vulneráveis - Nossa Senhora do Socorro,DEAGV,público,Delegacia da Mulher,Local,,Rua,Quinze,,,,Conjunto Fernando Collor,Nossa Senhora do Socorro,2804805,SE,49160000,79,32564001,,,,,,Sim,00:00:00,23:59:00,Todos os dias,Sim,Sim,Sim,,"-10,851150","-37,064270",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especial de Atendimento a Grupos Vulneráveis - Estância,DEAGV,público,Delegacia da Mulher,Local,,Rua,Cachoeira,1115,,,Santa Cruz,Estância Velha,4307609,SE,49200000,79,35228777,,,,,,,,,,,,,,"-11,281193","-37,449360",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especial de Atendimento a Grupos Vulneráveis - Lagarto,DEAGV,público,Delegacia da Mulher,Local,,Praça,Rui Mendes,,,,Centro,Lagarto,2803500,SE,49400000,79,36312114,,,,,,,,,,,,,,"-10,919572","-37,667901",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especial de Atendimento a Grupos Vulneráveis - Itabaiana,DEAGV,público,Delegacia da Mulher,Local,,Avenida,Ivo de Carvalho,450,,,Centro,Itabaiana,2506905,SE,49500000,79,34318513,,,,,,,,,,,,,,"-10,689455","-37,426734",
